StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,Check1_1,Check1_2,Check1_3,Check1_4,DT_Ball_A_1,DT_Ball_B_1,DT_Disjunctive_1,Both_Thru_DT,DB_Ball_A_1,DB_Ball_B_1,DB_Disjunctive_1,Both_Thru_DB,A_DarkTop_Left_1,A_DarkTop_Right_1,B_DarkTop_Left_1,B_DarkTop_Right_1,Check2_1,Check2_2,Check2_3,Check2_4,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,LearnCondition,Condition
2019-05-24 20:42:39,2019-05-24 20:43:25,IP Address,103.89.64.26,100,45,True,2019-05-24 20:43:25,R_31dE3XQANm6orZ2,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,Benjamin,,,,false,false,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-24 20:39:35,2019-05-24 20:44:23,IP Address,98.217.23.160,100,287,True,2019-05-24 20:44:23,R_124k52Fdjd5c396,,,,,42.077392578125,-71.0446014404296875,anonymous,EN,,,,,James,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,100,50,100,Ball E did go through the gate because ball A did go through the motion block.,100,,,,,,,,I knew for sure that whatever was with the light red block would have a higher chance of going right thru to hit Ball E.,My age in years is,43,Female,I am,White,Non-Hispanic,2,1
2019-05-24 20:43:28,2019-05-24 20:44:33,IP Address,103.89.64.26,100,65,True,2019-05-24 20:44:33,R_Ui5LMEqKRI8hs0V,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,James,false,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,1
2019-05-24 20:44:38,2019-05-24 20:45:24,IP Address,103.89.64.26,100,46,True,2019-05-24 20:45:25,R_1Ehchw7ztw7gQk4,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,Benjamin,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-24 20:37:54,2019-05-24 20:46:33,IP Address,157.50.7.56,100,518,True,2019-05-24 20:46:33,R_ZktyEX88lNDKpZn,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,william,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 20:46:53,2019-05-24 20:48:06,IP Address,157.50.7.56,100,73,True,2019-05-24 20:48:06,R_3j8xYIOHXRhITty,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,lim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 20:48:19,2019-05-24 20:49:10,IP Address,157.50.7.56,100,50,True,2019-05-24 20:49:11,R_1rBVkmDlrk4SfCE,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,liam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 20:50:30,2019-05-24 20:51:51,Spam,157.50.7.56,100,81,True,2019-05-24 20:51:52,R_3h6E9wnAv6ag1Bg,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,liam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 20:52:07,2019-05-24 20:53:31,Spam,157.50.7.56,100,84,True,2019-05-24 20:53:31,R_2VsCMvRml4kxC4u,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,william,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 20:53:52,2019-05-24 20:54:41,IP Address,157.50.7.56,100,48,True,2019-05-24 20:54:42,R_1Lpzzh1CpCuP0P0,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,amelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 20:55:07,2019-05-24 20:56:00,Spam,157.50.7.56,100,53,True,2019-05-24 20:56:01,R_2qsA2qdqXIW7pf0,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,liam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 20:57:12,2019-05-24 21:01:43,IP Address,157.50.7.56,100,270,True,2019-05-24 21:01:43,R_3dEWo4EZIUm2tGd,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,mia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 21:00:25,2019-05-24 21:03:56,IP Address,24.23.115.160,100,210,True,2019-05-24 21:03:56,R_7NBA2q1do4vOfrX,,,,,40.4405059814453125,-79.99559783935546875,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",74,24,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,90,,,,,,,I tried to go with the higher percentage choices.,My age in years is,37,Male,I am,white,Non-Hispanic,1,2
2019-05-24 20:36:49,2019-05-24 21:07:15,IP Address,191.96.97.58,100,1825,True,2019-05-24 21:07:16,R_1FKaQUNrp2p8Tvt,,,,,53.488006591796875,-113.47969818115234375,anonymous,EN,,,,,James,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",1,97,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,91,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",The light red motion block position.,My age in years is,36,Female,I am,Black,Non-Hispanic,1,4
2019-05-24 21:03:13,2019-05-24 21:29:49,IP Address,171.49.200.20,100,1596,True,2019-05-24 21:29:50,R_3ek0KrhSLk3zQru,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,,james,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",76,75,92,Ball E did go through the gate because ball B did go through the motion block.,,,,,96,,,,,,,,good work,My age in years is,28,Male,I am,asian,Non-Hispanic,1,1
2019-05-24 19:54:52,2019-05-24 20:10:25,IP Address,103.58.67.18,49,933,False,2019-05-24 22:05:34,R_3gYtnohLu8L0GBg,,,,,,,anonymous,EN,,,,,james,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,,,,,,,,,,,,1,3
2019-05-24 20:05:48,2019-05-24 20:17:30,IP Address,49.207.184.166,99,702,False,2019-05-24 22:05:35,R_BM5v6aI1EnbfRYJ,,,,,,,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,19,72,92,Ball E did go through the gate because ball B did go through the motion block.,,,93,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",He discribes that ball E has go through the gate bacause of ball B did.Hence it is obvious that ball B is more likely to block,My age in years is,27,Female,I am,white,Hispanic,2,3
2019-05-24 19:25:29,2019-05-24 19:27:43,IP Address,69.117.40.138,58,133,False,2019-05-24 22:05:37,R_XLhxeTVwTjxsuyt,,,,,,,anonymous,EN,,,,,James,false,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,2
2019-05-24 19:57:35,2019-05-24 20:01:12,IP Address,70.83.139.17,91,216,False,2019-05-24 22:05:37,R_pizP61ltj1Mv8pb,,,,,,,anonymous,EN,,,,,James,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",52,51,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,16,,,,,,,,,,,,1,4
2019-05-24 19:06:58,2019-05-24 19:43:37,IP Address,23.118.25.216,58,2199,False,2019-05-24 22:05:49,R_9HSND5b62noia6R,,,,,,,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,1
2019-05-24 20:01:34,2019-05-24 20:17:05,IP Address,76.217.129.76,58,930,False,2019-05-24 22:05:49,R_2YEpu0AUFQsKExO,,,,,,,anonymous,EN,,,,,James,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,3
2019-05-24 19:06:10,2019-05-24 19:09:26,IP Address,76.210.185.217,58,196,False,2019-05-24 22:05:49,R_1Pd58NwfdpYPZle,,,,,,,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,2
2019-05-24 20:33:16,2019-05-24 20:34:21,IP Address,51.37.99.31,10,64,False,2019-05-24 22:05:51,R_p6Jo4gUG2bCf0T7,,,,,,,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
2019-05-24 19:03:31,2019-05-24 19:06:39,IP Address,173.63.61.15,49,188,False,2019-05-24 22:05:54,R_3IWvE6Dinebqwqj,,,,,,,anonymous,EN,,,,,James,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,,,,,,,,,,,,1,3
2019-05-24 19:44:25,2019-05-24 19:44:54,IP Address,73.48.80.170,10,29,False,2019-05-24 22:05:54,R_Rk2hHzOaVhxX2x3,,,,,,,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
2019-05-24 19:41:47,2019-05-24 19:48:04,IP Address,71.176.77.12,12,377,False,2019-05-24 22:05:54,R_vHX9wjWZeVjihYl,,,,,,,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
2019-05-24 20:11:57,2019-05-24 20:12:08,IP Address,73.217.119.219,10,11,False,2019-05-24 22:05:54,R_2WvgtI9CFkVSu3v,,,,,,,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
2019-05-24 19:13:21,2019-05-24 19:13:54,IP Address,103.114.211.86,49,32,False,2019-05-24 22:05:56,R_3iVfN4LQ26DWPYj,,,,,,,anonymous,EN,,Benjamin,,,,false,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,,,,,,,,,,,,2,4
2019-05-24 19:11:18,2019-05-24 19:13:21,IP Address,103.114.211.86,58,123,False,2019-05-24 22:05:56,R_3e8nWWUdJfw0mXk,,,,,,,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,2
2019-05-24 19:13:54,2019-05-24 19:17:10,IP Address,103.114.211.86,99,195,False,2019-05-24 22:05:57,R_3m3vvF3QhPMHn5x,,,,,,,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,73,52,77,Ball E did go through the gate because ball A did go through the motion block.,86,,,,,,,,good,My age in years is,28,Male,I am,White,Non-Hispanic,2,1
2019-05-24 19:55:38,2019-05-24 19:56:31,IP Address,122.174.85.187,49,52,False,2019-05-24 22:05:57,R_UMYH4j5EOmNnnRn,,,,,,,anonymous,EN,,,Ava,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,,,,,,,,,,,,2,1
2019-05-24 19:52:27,2019-05-24 19:57:09,IP Address,122.174.85.187,49,281,False,2019-05-24 22:05:57,R_2YlXleX7b7VqJSW,,,,,,,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,,,,,,,,,,,,2,1
2019-05-24 19:56:35,2019-05-24 19:57:05,Spam,122.174.85.187,49,29,False,2019-05-24 22:05:58,R_sBeVsBtrpTRt4gF,,,,,,,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,,,,,,,,,,,,1,4
